example_id,state_group,failure_category,outcome_class,sustained_transition_step,sustained_transition_progress,n_prefixes,n_valid_prefixes,n_invalid_prefixes,n_optimal_recommendations,n_suboptimal_recommendations,prefix_outcome_sequence
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,Failure states,wall_hit,sustained optimal-to-suboptimal recommendation transition,3,0.09375,33,33,0,13,20,OOOSOOOOOOOOOSSOSSSSSSSSSSSSSSSSS
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_009,Failure states,wall_hit,sustained optimal-to-suboptimal recommendation transition,24,0.7741935483870968,32,32,0,28,4,OOOOOOOOOOOOOOOOOOOOOOOOSSOOOOSS
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,Non-failure controls,none,mixed/transient suboptimal recommendations,,,31,31,0,30,1,SOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,Non-failure controls,none,all valid prefix-elicited actions planner-optimal,,,33,33,0,33,0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11_step_004,Non-failure controls,none,all valid prefix-elicited actions planner-optimal,,,31,31,0,31,0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_12_step_003,Non-failure controls,none,all valid prefix-elicited actions planner-optimal,,,31,31,0,31,0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_13_step_000,Non-failure controls,none,all valid prefix-elicited actions planner-optimal,,,27,27,0,27,0,OOOOOOOOOOOOOOOOOOOOOOOOOOO
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_006,Non-failure controls,none,mixed/transient suboptimal recommendations,,,28,28,0,26,2,SOOOOOOOOOSOOOOOOOOOOOOOOOOO
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,Non-failure controls,none,sustained optimal-to-suboptimal recommendation transition,1,0.03333333333333333,31,31,0,10,21,OSSSSSSSSSSSSSSSOOSSSSSSOOOOOOO
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_19_step_002,Non-failure controls,none,all valid prefix-elicited actions planner-optimal,,,33,33,0,33,0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_008,Non-failure controls,none,all valid prefix-elicited actions planner-optimal,,,28,28,0,28,0,OOOOOOOOOOOOOOOOOOOOOOOOOOOO
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_21_step_009,Non-failure controls,none,all valid prefix-elicited actions planner-optimal,,,33,33,0,33,0,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_23_step_006,Non-failure controls,none,mixed/transient suboptimal recommendations,,,21,21,0,20,1,SOOOOOOOOOOOOOOOOOOOO
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_25_step_004,Non-failure controls,none,mixed/transient suboptimal recommendations,,,32,32,0,31,1,SOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
