pipeline,stage,producer,primary_inputs,primary_outputs,artifact_kind,provenance_or_dependency,remote_backup
semantic,label_together_replicate,scripts/run_general_semantic_together_multilabel_labeler.py,"same inventory and few-shot file as original","annotations_gpt_oss_20b_multilabel_v3_full_replicate.csv; adjacent manifest/status",raw_judge_output,"Pair with original on annotation_id; identical frozen config",Not remotely backed up as of 2026-08-23
semantic,label_local_smoke,scripts/run_local_general_semantic_multilabel_labeler.py,"sentence_inventory.csv; few_shot_examples_multilabel.json; pinned local GPT-OSS checkpoint",annotations_gpt_oss_20b_multilabel_local_smoke.csv,raw_judge_output,"Local compatibility check; not canonical full run",Local only
semantic,diagnostics,documented analysis of paired canonical CSVs,"v3_full.csv; v3_full_replicate.csv",V3_FULL_REPLICATE_DIAGNOSTICS.md,derived_report,"7036 jointly valid IDs; agreement measures repeatability rather than human accuracy",Report on Hugging Face
activations,extract,scripts/run_gpt_oss_activation_full.py,"stored trajectory corpus; sentence boundaries; pinned GPT-OSS checkpoint","outputs/activation_collection/gpt_oss_20b_boundary_v1/shards/*.safetensors; activation_index.parquet",derived_raw,"run_config.json freezes hashes/revision/layers/dtype; run_manifest.json records completion",Complete Hugging Face dataset revision 67dd0ef4
activations,validate,scripts/validate_gpt_oss_activation_full.py,outputs/activation_collection/gpt_oss_20b_boundary_v1/,validation_report.json,validation,"SHA256SUMS provides per-file integrity verification",Complete Hugging Face dataset revision 67dd0ef4
activations,downstream_analysis,"scripts/build_information_use_test.py; scripts/build_practical_action_event_monitor.py; scripts/build_hypothesis_test_plan_outputs.py",activation_index.parquet,"outputs/hypothesis_tests/*",derived,"Consumers resolve tensors through activation index",Mostly GitHub; inspect each output manifest
reasoning_topology,analyse,scripts/run_reasoning_topology.py,"matched-46 cohort; GPT-OSS activation index/shards","outputs/hypothesis_tests/reasoning_topology_v1/",derived_and_report,"Continuous metrics; deliberately no PCA or clustering","See docs/reasoning_experiment_lineage.csv"
reasoning_regimes,coarse_grain,scripts/run_reasoning_regime_coarse_graining.py,"action-distribution position metrics; topology trace metrics","outputs/hypothesis_tests/reasoning_regime_coarse_graining_v1/",row_level_derived_and_report,"Four deterministic regimes; produces positions and transitions consumed downstream","See docs/reasoning_experiment_lineage.csv"
semantic_regime_prediction,predict,scripts/run_semantic_regime_transition_prediction.py,"regime transition rows; original and replicate canonical semantic annotations","outputs/hypothesis_tests/semantic_regime_transition_prediction_v1/",row_level_predictions_and_report,"Grouped out-of-fold persistence/change/destination models","Large prediction_rows.csv on private Hugging Face; remainder GitHub"
reasoning_dynamics_graph,analyse,scripts/run_reasoning_dynamics_graph.py,"regime positions; BEAST points; original and replicate canonical semantic annotations","outputs/hypothesis_tests/reasoning_dynamics_graph_v1/",row_level_predictions_graphs_and_report,"Multi-horizon closure; replicated semantic paths; exploratory BEAST operator graph","See docs/reasoning_experiment_lineage.csv"
reasoning_dynamics_graph,visualize,scripts/plot_reasoning_dynamics_graphs.py,"semantic_process_graph_edges.csv; BEAST operator graph tables","outputs/hypothesis_tests/reasoning_dynamics_graph_v1/figs/",figures,"Deterministic rendering; no refitting","GitHub branch"
reasoning_dag_audit,prepare,scripts/prepare_deterministic_reasoning_dag_audit.py,"regime positions; BEAST points; canonical semantic annotations","outputs/hypothesis_tests/deterministic_reasoning_dag_audit_v1/",prepared_annotation,"Shortest matched control/failure pair; outcome fields hidden from review table","GitHub branch"
reasoning_dag_audit,review,scripts/serve_reasoning_dag_review.py,"deterministic_reasoning_dag_audit_v1/edge_review.csv","same edge_review.csv reviewer-specific columns",raw_human_annotation,"Local validated UI; blank means unreviewed and [] means reviewed no-edge","GitHub after review checkpoint"
belief_clause_intervention,prepare,scripts/run_belief_clause_intervention.py,"data/behavioral_probes/reasoning_belief_action_cohorts/matched_46_candidates.csv; matched-46 prefix_action_rows.csv; matched-46 belief_rows.csv","outputs/hypothesis_tests/belief_clause_intervention_matched46_v1/cohort.csv; preparation_manifest.json",prepared_input,"Uses all 46 matched decisions; manifest records input hashes and seeded wall-fact selection",GitHub branch
belief_clause_intervention,query,scripts/run_belief_clause_intervention.py,"cohort.csv; pinned openai/gpt-oss-20b revision","action_readouts.jsonl; query_config.json; run_manifest.json",raw_model_readout,"184 completed candidate-token readouts across four clause conditions; resume-safe JSONL",GitHub branch
belief_clause_intervention,analyse,scripts/run_belief_clause_intervention.py,"cohort.csv; action_readouts.jsonl; matched-46 full-CoT and grid-only action rows","analysis_rows.csv; summary.csv; subgroup_summary.csv; pairwise_contrasts.csv; run_report.md",derived_and_report,"Trajectory-grouped bootstrap contrasts; regenerate with --stage analyze",GitHub branch
