trajectory_id,model,api_model_id,reasoning_setting,temperature,top_p,seed,max_output_tokens,context_mode,prompt_sha256,grid_id,grid_size,difficulty,observed_wall_fraction,grid_replicate,step_index,agent_x,agent_y,optimal_actions,selected_action,is_optimal_action,valid_action,api_success,finish_reason,truncated_call,latency_seconds,prompt_tokens,output_tokens,reasoning_tokens,total_tokens,estimated_cost_usd,attempts,error_type,error_message,goal_reached_after_action,response_text,reasoning_content,response_id,provider_returned_model_id,system_fingerprint
gpt-oss-20b__low__size7_difficulty0.0_grid10__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,1105389805,16000,current full grid only (no trajectory history),97880c6671c5aff90957058bdd7d0a3c047e2260a7154ba4aa83b0e8858e122a,size7_difficulty0.0_grid10,7,0.0,0.0,10,0,4,1,"[""LEFT""]",LEFT,True,True,True,stop,False,1.8413494330015965,485,196,0,681,6.345e-05,1,,,False,"{
  ""action"": ""LEFT""
}","We need shortest path. Grid 7x7. Walls border. Agent at row1 col4? Wait grid coordinates: row index 1 has ""# G _ _ A _ #"". Columns 0-6. So agent at (1,4). Goal at (1,1). So left movement. Path: from (1,4) to (1,1) directly left 3 steps: left, left, left. But check obstacles: row1 col3 is '_'? row1 col3 is '_'? row1: ""# G _ _ A _ #"": indices: 0 '#',1 'G',2 '_',3 '_',4 'A',5 '_',6 '#'. So left from 4 to 3 is '_' ok. then 2 is '_' ok. then 1 is 'G' goal. So first move LEFT.",owSAviN-fdNmn-a2c0e23e1e68a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid10__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,220975079,16000,current full grid only (no trajectory history),cf92a03f5e07f2d57fdd8629e0fce3ea13b4532ae1747b8ab664ddb6da5d7460,size7_difficulty0.0_grid10,7,0.0,0.0,10,1,3,1,"[""LEFT""]",LEFT,True,True,True,stop,False,0.5643131540273316,485,46,0,531,3.345e-05,1,,,False,"{
  ""action"": ""LEFT""
}","We need move from A at (1,3) to G at (1,1). Left two steps. So action LEFT.",owSAwGB-fdNmn-a2c0e2499a53a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid10__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,1727811086,16000,current full grid only (no trajectory history),2caa6237e907e61a6e8c1e36a7d57ae73f8057c257c23a12801c0835a706a4cb,size7_difficulty0.0_grid10,7,0.0,0.0,10,2,2,1,"[""LEFT""]",LEFT,True,True,True,stop,False,0.5229878580430523,485,40,0,525,3.225e-05,1,,,True,"{ ""action"": ""LEFT"" }","We need next move from A at (1,2) to G at (1,1). Left.",owSAwSC-3pDw3Z-a2c0e24d2d92a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid10__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,0.95,454839833,16000,current full grid only (no trajectory history),97880c6671c5aff90957058bdd7d0a3c047e2260a7154ba4aa83b0e8858e122a,size7_difficulty0.0_grid10,7,0.0,0.0,10,0,4,1,"[""LEFT""]",LEFT,True,True,True,stop,False,0.590416647028178,485,52,0,537,3.465e-05,1,,,False,"{
  ""action"": ""LEFT""
}","We need shortest path from A at (1,4) to G at (1,1). Open spaces between. Path: left left. So action LEFT.",owSAwbH-3pDw3Z-a2c0e250681ea2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid10__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,0.95,1342465936,16000,current full grid only (no trajectory history),cf92a03f5e07f2d57fdd8629e0fce3ea13b4532ae1747b8ab664ddb6da5d7460,size7_difficulty0.0_grid10,7,0.0,0.0,10,1,3,1,"[""LEFT""]",LEFT,True,True,True,stop,False,1.4310664730146527,485,139,0,624,5.2050000000000005e-05,1,,,False,"{
  ""action"": ""LEFT""
}","We need shortest path from A at (1,3?) Wait grid: row1 index1: row1: ""# G _ A _ _ #"". columns 0-6. So A at row1 col3. Goal G at row1 col1. Walls border. So path: from (1,3) to (1,1). Need move left twice. Check obstacles: positions (1,2) is '_' open. (1,1) G. So first move LEFT to (1,2). Next LEFT to (1,1). So next action is LEFT.",owSAwmQ-3pDw3Z-a2c0e2541bd0a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid10__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,0.95,2325743523,16000,current full grid only (no trajectory history),2caa6237e907e61a6e8c1e36a7d57ae73f8057c257c23a12801c0835a706a4cb,size7_difficulty0.0_grid10,7,0.0,0.0,10,2,2,1,"[""LEFT""]",LEFT,True,True,True,stop,False,0.6364238779642619,485,47,0,532,3.365e-05,1,,,True,"{
  ""action"": ""LEFT""
}","We need next move from A at (1,2) to G at (1,1). Left is goal. So action LEFT.",owSAxBp-fdNmn-a2c0e25d0d45a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid11__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,1410152787,16000,current full grid only (no trajectory history),b882326f66779cda88981f90f0fe16438ba2a84645fbcd0b9799d1746d5f128d,size7_difficulty0.0_grid11,7,0.0,0.0,11,0,3,3,"[""LEFT"", ""DOWN""]",LEFT,True,True,True,stop,False,1.7886036320123821,485,187,0,672,6.165000000000001e-05,1,,,False,"{
  ""action"": ""LEFT""
}","We need shortest path from A at (3,3) to G at (4,1). Surrounding walls border. Open spaces inside. Let's map coordinates: row 3 col3 is A. Goal at row4 col1. We can move left or down etc.

From A (3,3). Possible moves: up to (2,3) open, down to (4,3) open, left to (3,2) open, right to (3,4) open.

Goal at (4,1). Path: from (3,3) left to (3,2), left to (3,1), down to (4,1). That's 3 steps. Alternatively up then left then down? But 3 steps seems minimal. So first move should be LEFT.

Return action LEFT.",owSAxP5-3pDw3Z-a2c0e261090ca2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid11__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,293167494,16000,current full grid only (no trajectory history),ec34640f9fa3e9f97280bb9a8fc2400e19e503c2ccffd147de199d857abb28f0,size7_difficulty0.0_grid11,7,0.0,0.0,11,1,2,3,"[""LEFT"", ""DOWN""]",DOWN,True,True,True,stop,False,1.0335473869927227,485,95,0,580,4.325e-05,1,,,False,"{
  ""action"": ""DOWN""
}","We need shortest path from A at (3,2) to G at (4,1). Grid open spaces except walls border. Move down then left? From (3,2) down to (4,2) then left to (4,1). That's 2 steps. Check if any obstacle? row4 col2 is '_' open. So first move DOWN.",owSAxux-3pDw3Z-a2c0e26c3bd3a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid11__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,753675485,16000,current full grid only (no trajectory history),9b34d29e90c7ac2c3551d3ca4e40eea3de53f07bf2bf6c297c4fd037397eabc3,size7_difficulty0.0_grid11,7,0.0,0.0,11,2,2,4,"[""LEFT""]",LEFT,True,True,True,stop,False,1.3347365279914811,485,126,0,611,4.945e-05,1,,,True,"{
  ""action"": ""LEFT""
}","We need next move. Grid 7x7. Coordinates: row 0..6, col0..6. Agent at row4 col2? Wait row4: ""# G A _ _ _ #"" So columns: 0:#,1:G,2:A,3:_,4:_,5:_,6:#. Goal at (4,1). Agent at (4,2). Need move left to reach goal. Ensure not wall: left is (4,1) which is G. So action LEFT.",owSAyE1-3pDw3Z-a2c0e272aa03a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid11__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,2105026936,16000,current full grid only (no trajectory history),b882326f66779cda88981f90f0fe16438ba2a84645fbcd0b9799d1746d5f128d,size7_difficulty0.0_grid11,7,0.0,0.0,11,0,3,3,"[""LEFT"", ""DOWN""]",DOWN,True,True,True,stop,False,0.9022377609508112,485,75,0,560,3.925e-05,1,,,False,"{
  ""action"": ""DOWN""
}","We need next move from A at (3,3) to G at (4,1). Path: from (3,3) down to (4,3), left to (4,2), left to (4,1) goal. So first action DOWN.",owSAycv-3pDw3Z-a2c0e27b09c1a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid11__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,1005253861,16000,current full grid only (no trajectory history),8de1b748472155a44e147f4c63be95f8e2ad0bcdf6d71e723f83813f8d438b19,size7_difficulty0.0_grid11,7,0.0,0.0,11,1,3,4,"[""LEFT""]",LEFT,True,True,True,stop,False,1.626346802979242,485,133,0,618,5.085e-05,1,,,False,"{
  ""action"": ""LEFT""
}","We need next move from A at (4,3?) Wait coordinates: grid indices row 0-6 col 0-6. Row4: ""# G _ A _ _ #"" columns: 0:#,1:G,2:_,3:A,4:_,5:_,6:#. So A at (4,3). Goal at (4,1). Path: need move left twice. But check walls: row4 col2 is _, so left to (4,2) then left to (4,1). So action LEFT.",owSAyx3-3pDw3Z-a2c0e280a801a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid11__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,3658232564,16000,current full grid only (no trajectory history),9b34d29e90c7ac2c3551d3ca4e40eea3de53f07bf2bf6c297c4fd037397eabc3,size7_difficulty0.0_grid11,7,0.0,0.0,11,2,2,4,"[""LEFT""]",LEFT,True,True,True,stop,False,0.7433358569978736,485,58,0,543,3.5850000000000004e-05,1,,,True,"{
  ""action"": ""LEFT""
}","We need shortest path from A at (4,2) to G at (4,1). They are adjacent horizontally: G at col1, A at col2. So move LEFT.",owSAzNF-fdNmn-a2c0e28ad921a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid11__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,3882699001,16000,current full grid only (no trajectory history),b882326f66779cda88981f90f0fe16438ba2a84645fbcd0b9799d1746d5f128d,size7_difficulty0.0_grid11,7,0.0,0.0,11,0,3,3,"[""LEFT"", ""DOWN""]",DOWN,True,True,True,stop,False,0.8759635640308261,485,76,0,561,3.9450000000000003e-05,1,,,False,"{
  ""action"": ""DOWN""
}","Need shortest path from A at (3,3) to G at (4,1). Grid open spaces. Path: down to (4,3) then left to (4,1). That's 3 steps: DOWN, LEFT, LEFT. So first action is DOWN.",owSAzb3-fdNmn-a2c0e28f8e2ea2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid11__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,1596620946,16000,current full grid only (no trajectory history),8de1b748472155a44e147f4c63be95f8e2ad0bcdf6d71e723f83813f8d438b19,size7_difficulty0.0_grid11,7,0.0,0.0,11,1,3,4,"[""LEFT""]",LEFT,True,True,True,stop,False,0.678219627996441,485,52,0,537,3.465e-05,1,,,False,"{
  ""action"": ""LEFT""
}","We need shortest path from A at (4,3) to G at (4,1). Open spaces. Straight left two steps. So first move LEFT.",owSAzrU-3pDw3Z-a2c0e294fbc5a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid11__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,1527902846,16000,current full grid only (no trajectory history),9b34d29e90c7ac2c3551d3ca4e40eea3de53f07bf2bf6c297c4fd037397eabc3,size7_difficulty0.0_grid11,7,0.0,0.0,11,2,2,4,"[""LEFT""]",LEFT,True,True,True,stop,False,0.5527710150345229,485,46,0,531,3.345e-05,1,,,True,"{
  ""action"": ""LEFT""
}","We need move from A at (4,2) to G at (4,1). Left is goal. So action LEFT.",owSB13q-fdNmn-a2c0e2993f6ba2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid11__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,0.95,3644646462,16000,current full grid only (no trajectory history),b882326f66779cda88981f90f0fe16438ba2a84645fbcd0b9799d1746d5f128d,size7_difficulty0.0_grid11,7,0.0,0.0,11,0,3,3,"[""LEFT"", ""DOWN""]",DOWN,True,True,True,stop,False,1.395584180019796,485,136,0,621,5.1450000000000004e-05,1,,,False,"{
  ""action"": ""DOWN""
}","We need shortest path from A at (3,3) to G at (4,1). Grid open spaces. Likely move DOWN then LEFT twice? From (3,3) down to (4,3) then left to (4,2) then left to (4,1). That's 3 steps. Could also go left then down then left? From (3,3) left to (3,2) then down to (4,2) then left to (4,1). Also 3 steps. So any is fine. Choose DOWN.",owSB1DM-fdNmn-a2c0e29cba7da2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid11__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,0.95,1939009022,16000,current full grid only (no trajectory history),8de1b748472155a44e147f4c63be95f8e2ad0bcdf6d71e723f83813f8d438b19,size7_difficulty0.0_grid11,7,0.0,0.0,11,1,3,4,"[""LEFT""]",LEFT,True,True,True,stop,False,1.1687751730205491,485,111,0,596,4.6450000000000004e-05,1,,,False,"{
  ""action"": ""LEFT""
}","We need next move from A at (4,3?) Wait coordinates: row 4 col? grid: row indices 0-6, col 0-6. Row4: ""# G _ A _ _ #"" columns:0#,1 G,2 _,3 A,4 _,5 _,6#. So A at (4,3). Goal G at (4,1). Need shortest path: left two steps. So first move LEFT.",owSB1dd-3pDw3Z-a2c0e2a56a3aa2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid11__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,0.95,2108474254,16000,current full grid only (no trajectory history),9b34d29e90c7ac2c3551d3ca4e40eea3de53f07bf2bf6c297c4fd037397eabc3,size7_difficulty0.0_grid11,7,0.0,0.0,11,2,2,4,"[""LEFT""]",LEFT,True,True,True,stop,False,0.5651239770231768,485,47,0,532,3.365e-05,1,,,True,"{
  ""action"": ""LEFT""
}","We need next move from A at (4,2) to G at (4,1). Left is goal. So action LEFT.",owSB1yq-fdNmn-a2c0e2acc8e6a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid12__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,2693163848,16000,current full grid only (no trajectory history),9d359e00f8a8fbbcdb3b750d79f54ae5ca17bb9cf595aed221d1789c497a0f67,size7_difficulty0.0_grid12,7,0.0,0.0,12,0,3,1,"[""LEFT"", ""DOWN""]",DOWN,True,True,True,stop,False,1.4664804179919884,485,82,0,567,4.065e-05,1,,,False,"{
  ""action"": ""DOWN""
}","We need shortest path from A at (1,3) to G at (4,2). Path: from (1,3) go down to (2,3), (3,3), (4,3), then left to (4,2). Steps 4. So action is DOWN.",owSB29Y-fdNmn-a2c0e2b04b55a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid12__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,799505914,16000,current full grid only (no trajectory history),2f8f585dc09452dafd799a39f54451bfe10f42edb29f4182ba479b92ef804d73,size7_difficulty0.0_grid12,7,0.0,0.0,12,1,3,2,"[""LEFT"", ""DOWN""]",DOWN,True,True,True,stop,False,2.16367146599805,485,155,0,640,5.525e-05,1,,,False,"{
  ""action"": ""DOWN""
}","We need shortest path. Grid 7x7. Walls border. Agent at (2,3). Goal at (4,2). Need move. Shortest path: from (2,3) to (4,2). Options: down then left twice? Let's compute: (2,3)->(3,3) down, (4,3) down, (4,2) left. That's 3 steps. Alternative left then down twice: (2,2) left, (3,2) down, (4,2) down. Also 3 steps. Which is allowed? Both open. Choose DOWN first. So action ""DOWN"".",owSB2b4-3pDw3Z-a2c0e2b97b34a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid12__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,2235455701,16000,current full grid only (no trajectory history),9fde1076e8f8cc9eddd06ba60e14a6a34d1bd703092531d8b330e8ec2c914fd6,size7_difficulty0.0_grid12,7,0.0,0.0,12,2,3,3,"[""LEFT"", ""DOWN""]",LEFT,True,True,True,stop,False,1.388532924989704,485,125,0,610,4.9250000000000004e-05,1,,,False,"{
  ""action"": ""LEFT""
}","We need shortest path from A at (3,3) to G at (4,2). Positions: row 3 col3. Goal row4 col2. From A, possible moves: up to (2,3), down to (4,3), left to (3,2), right to (3,4). Goal at (4,2). The shortest path: from A left to (3,2) then down to (4,2). That's 2 steps. So first action LEFT.",owSB3EV-3pDw3Z-a2c0e2c6f871a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid12__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,2960375069,16000,current full grid only (no trajectory history),98b374ac602d8e4167a6cd7156142b3874a42e7584d9446e882f008a25e480fd,size7_difficulty0.0_grid12,7,0.0,0.0,12,3,2,3,"[""DOWN""]",DOWN,True,True,True,stop,False,0.7888668340165168,485,50,0,535,3.425e-05,1,,,True,"{""action"":""DOWN""}","We need shortest path. Grid 7x7. Walls border. Agent at (3,2). Goal at (4,2). Down one. So action DOWN.",owSB3dz-fdNmn-a2c0e2cfa82ba2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid12__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,357034766,16000,current full grid only (no trajectory history),9d359e00f8a8fbbcdb3b750d79f54ae5ca17bb9cf595aed221d1789c497a0f67,size7_difficulty0.0_grid12,7,0.0,0.0,12,0,3,1,"[""LEFT"", ""DOWN""]",DOWN,True,True,True,stop,False,1.036374477960635,485,78,0,563,3.9850000000000006e-05,1,,,False,"{
  ""action"": ""DOWN""
}","Compute shortest path: from A at (1,3) to G at (4,2). Move down to (2,3), down to (3,3), left to (3,2), down to (4,2). 5 moves. So next action: DOWN.",owSB3sd-fdNmn-a2c0e2d49d10a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid12__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,3851563665,16000,current full grid only (no trajectory history),2f8f585dc09452dafd799a39f54451bfe10f42edb29f4182ba479b92ef804d73,size7_difficulty0.0_grid12,7,0.0,0.0,12,1,3,2,"[""LEFT"", ""DOWN""]",DOWN,True,True,True,stop,False,1.1481668169726618,485,97,0,582,4.3650000000000004e-05,1,,,False,"{
  ""action"": ""DOWN""
}","We need shortest path. Grid 7x7. Walls border. Start at (2,3). Goal at (4,2). Need move: from (2,3) to (4,2). Shortest: down to (3,3), down to (4,3), left to (4,2). That's 3 steps. So first action: DOWN.",owSB4Bq-3pDw3Z-a2c0e2db1a8ca2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid12__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,739218923,16000,current full grid only (no trajectory history),9fde1076e8f8cc9eddd06ba60e14a6a34d1bd703092531d8b330e8ec2c914fd6,size7_difficulty0.0_grid12,7,0.0,0.0,12,2,3,3,"[""LEFT"", ""DOWN""]",DOWN,True,True,True,stop,False,1.197027918009553,485,102,0,587,4.465e-05,1,,,False,"{
  ""action"": ""DOWN""
}","We need next move from A at (3,3) to G at (4,2). Down-left diagonal. Need either DOWN then LEFT or LEFT then DOWN. Which is shortest? both 2 steps. Choose DOWN first? From (3,3) DOWN to (4,3) then LEFT to (4,2). Check walls: row4 col3 is '_' open. So action DOWN.",owSB4Xp-3pDw3Z-a2c0e2e24988a2a4,openai/gpt-oss-20b,
gpt-oss-20b__low__size7_difficulty0.0_grid12__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,0.95,947409200,16000,current full grid only (no trajectory history),1060253bad1618499bca4dd7ebee1e394b47c36a20ed0b74674f9f6022b342c5,size7_difficulty0.0_grid12,7,0.0,0.0,12,3,3,4,"[""LEFT""]",LEFT,True,True,True,stop,False,0.5451015119906515,485,37,0,522,3.165e-05,1,,,True,"{""action"":""LEFT""}","We need next move from A at (4,3) to G at (4,2). Left.",owSB4tb-fdNmn-a2c0e2e9c855a2a4,openai/gpt-oss-20b,
