trajectory_id,model,api_model_id,reasoning_setting,temperature,sampling_condition,grid_id,grid_size,difficulty,observed_wall_fraction,grid_replicate,trajectory_complete,goal_reached,steps,optimal_path_length,optimal_action_fraction,valid_action_fraction,invalid_output_rate,api_failure_rate,truncation_or_failure,step_limit_reached,total_output_tokens,max_call_output_tokens,total_runtime_seconds,p50_call_runtime_seconds,p95_call_runtime_seconds,total_prompt_tokens,total_tokens,estimated_cost_usd
gpt-oss-20b__low__size7_difficulty0.0_grid12__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid12,7,0.0,0.0,12,True,True,4,4,1.0,1.0,0.0,0.0,False,False,358,125,4.809929218026809,1.0174835814977996,1.8394863336638079,1940,2298,0.0001686
gpt-oss-20b__low__size7_difficulty0.0_grid12__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid12,7,0.0,0.0,12,True,True,4,4,1.0,1.0,0.0,0.0,False,False,412,155,5.807551642996259,1.4275066714908462,2.0590928087971405,1940,2352,0.0001794
gpt-oss-20b__low__size7_difficulty0.0_grid13__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid13,7,0.0,0.0,13,True,True,4,4,1.0,1.0,0.0,0.0,False,False,247,84,3.8244661069475114,0.9596100854978431,1.1001308276172495,1940,2187,0.0001464
gpt-oss-20b__low__size7_difficulty0.0_grid13__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid13,7,0.0,0.0,13,True,True,4,4,1.0,1.0,0.0,0.0,False,False,336,113,4.197934825962875,1.1817848545033485,1.222408348368481,1940,2276,0.0001642
gpt-oss-20b__low__size7_difficulty0.0_grid13__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid13,7,0.0,0.0,13,True,True,4,4,1.0,1.0,0.0,0.0,False,False,283,95,3.467234449053649,0.816602586011868,1.1049121769669,1940,2223,0.0001536
gpt-oss-20b__low__size7_difficulty0.0_grid13__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid13,7,0.0,0.0,13,True,True,4,4,1.0,1.0,0.0,0.0,False,False,306,100,3.8606841990258545,1.0127160974952858,1.1501305996614974,1940,2246,0.0001582
gpt-oss-20b__low__size7_difficulty0.0_grid14__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid14,7,0.0,0.0,14,True,True,4,4,1.0,1.0,0.0,0.0,False,False,351,135,5.318906527012587,0.9050329260062426,2.6511648234212766,1940,2291,0.0001672
gpt-oss-20b__low__size7_difficulty0.0_grid14__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid14,7,0.0,0.0,14,True,True,4,4,1.0,1.0,0.0,0.0,False,False,452,142,5.020244279003236,1.3981373559799977,1.4718614842626265,1940,2392,0.0001874
gpt-oss-20b__low__size7_difficulty0.0_grid14__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid14,7,0.0,0.0,14,True,True,4,4,1.0,1.0,0.0,0.0,False,False,313,130,3.842559115088079,0.8811211230058689,1.3811304389470023,1940,2253,0.0001596
gpt-oss-20b__low__size7_difficulty0.0_grid14__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid14,7,0.0,0.0,14,True,True,4,4,1.0,1.0,0.0,0.0,False,False,549,202,5.720082638028543,1.2774015814939048,2.0215518677752695,1940,2489,0.0002068
gpt-oss-20b__low__size7_difficulty0.0_grid15__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid15,7,0.0,0.0,15,True,True,4,4,1.0,1.0,0.0,0.0,False,False,401,135,4.49660779297119,1.2162994045065716,1.4757820489001459,1940,2341,0.00017720000000000002
gpt-oss-20b__low__size7_difficulty0.0_grid15__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid15,7,0.0,0.0,15,True,True,4,4,1.0,1.0,0.0,0.0,False,False,335,135,4.126926072058268,0.9742041235149372,1.4889011665683936,1940,2275,0.000164
gpt-oss-20b__low__size7_difficulty0.0_grid15__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid15,7,0.0,0.0,15,True,True,4,4,1.0,1.0,0.0,0.0,False,False,414,156,3.86676207697019,0.9510458534932695,1.2570605393906589,1940,2354,0.0001798
gpt-oss-20b__low__size7_difficulty0.0_grid15__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid15,7,0.0,0.0,15,True,True,4,4,1.0,1.0,0.0,0.0,False,False,524,181,5.81430624803761,1.5190738620294724,2.055961372688762,1940,2464,0.00020180000000000003
gpt-oss-20b__low__size7_difficulty0.0_grid16__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid16,7,0.0,0.0,16,True,True,4,4,1.0,1.0,0.0,0.0,False,False,417,187,3.5303211450809613,0.7809423465223517,1.355778582760831,1940,2357,0.00018040000000000002
gpt-oss-20b__low__size7_difficulty0.0_grid16__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid16,7,0.0,0.0,16,True,True,6,4,0.8333333333333334,1.0,0.0,0.0,False,False,532,134,5.230258732975926,0.7941953465051483,1.3128626442630775,2910,3442,0.0002519
gpt-oss-20b__low__size7_difficulty0.0_grid16__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid16,7,0.0,0.0,16,True,True,4,4,1.0,1.0,0.0,0.0,False,False,474,193,4.289681442955043,1.0348520869738422,1.4434030831966083,1940,2414,0.0001918
gpt-oss-20b__low__size7_difficulty0.0_grid16__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid16,7,0.0,0.0,16,True,True,6,4,0.8333333333333334,1.0,0.0,0.0,False,False,663,158,6.894240515015554,1.1759085655212402,1.4006208622449776,2910,3573,0.0002781
gpt-oss-20b__low__size7_difficulty0.0_grid17__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid17,7,0.0,0.0,17,True,True,5,5,1.0,1.0,0.0,0.0,False,False,350,132,3.536761469033081,0.6191257390310057,0.9750220285728574,2425,2775,0.00019125000000000001
gpt-oss-20b__low__size7_difficulty0.0_grid17__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid17,7,0.0,0.0,17,True,True,5,5,1.0,1.0,0.0,0.0,False,False,370,130,4.106329638976604,0.6452056529815309,1.209874195989687,2425,2795,0.00019525
gpt-oss-20b__low__size7_difficulty0.0_grid17__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid17,7,0.0,0.0,17,True,True,5,5,1.0,1.0,0.0,0.0,False,False,313,86,3.892608745081816,0.6130304950056598,1.2091106932261027,2425,2738,0.00018385
gpt-oss-20b__low__size7_difficulty0.0_grid17__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid17,7,0.0,0.0,17,True,True,5,5,1.0,1.0,0.0,0.0,False,False,526,246,4.472371423034929,0.6820456139976159,1.57240728380857,2425,2951,0.00022645
gpt-oss-20b__low__size7_difficulty0.0_grid18__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid18,7,0.0,0.0,18,True,True,5,5,1.0,1.0,0.0,0.0,False,False,408,135,4.083432368992362,0.7585990250227042,1.0171119150007144,2425,2833,0.00020285
gpt-oss-20b__low__size7_difficulty0.0_grid18__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid18,7,0.0,0.0,18,True,True,5,5,1.0,1.0,0.0,0.0,False,False,448,180,3.8587921339203604,0.7050548359984532,1.1802029085578396,2425,2873,0.00021085
gpt-oss-20b__low__size7_difficulty0.0_grid18__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid18,7,0.0,0.0,18,True,True,5,5,1.0,1.0,0.0,0.0,False,False,611,220,5.470696090953425,0.8825440489454195,1.6273825466167182,2425,3036,0.00024345
gpt-oss-20b__low__size7_difficulty0.0_grid18__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid18,7,0.0,0.0,18,True,True,5,5,1.0,1.0,0.0,0.0,False,False,404,107,4.08817350800382,0.8676264840178192,1.0285137682105414,2425,2829,0.00020205
gpt-oss-20b__low__size7_difficulty0.0_grid19__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid19,7,0.0,0.0,19,True,True,5,5,1.0,1.0,0.0,0.0,False,False,409,139,4.270928506972268,0.6519232519785874,1.275388335227035,2425,2834,0.00020305
gpt-oss-20b__low__size7_difficulty0.0_grid19__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid19,7,0.0,0.0,19,True,True,5,5,1.0,1.0,0.0,0.0,False,False,503,146,4.505623159056995,0.8453356690006331,1.2433156103943475,2425,2928,0.00022185
gpt-oss-20b__low__size7_difficulty0.0_grid19__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid19,7,0.0,0.0,19,True,True,5,5,1.0,1.0,0.0,0.0,False,False,604,201,6.34407997695962,1.233967414998915,1.5565729229827412,2425,3029,0.00024205
gpt-oss-20b__low__size7_difficulty0.0_grid19__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid19,7,0.0,0.0,19,True,True,5,5,1.0,1.0,0.0,0.0,False,False,694,208,6.2452082430245355,1.1664823460159823,2.021870717580896,2425,3119,0.00026005
gpt-oss-20b__low__size7_difficulty0.0_grid1__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid1,7,0.0,0.0,1,True,True,1,1,1.0,1.0,0.0,0.0,False,False,45,45,0.5823974320082925,0.5823974320082925,0.5823974320082925,485,530,3.325e-05
gpt-oss-20b__low__size7_difficulty0.0_grid1__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid1,7,0.0,0.0,1,True,True,1,1,1.0,1.0,0.0,0.0,False,False,42,42,0.6245799020398408,0.6245799020398408,0.6245799020398408,485,527,3.265e-05
gpt-oss-20b__low__size7_difficulty0.0_grid1__t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy_sanity_check,size7_difficulty0.0_grid1,7,0.0,0.0,1,True,True,1,1,1.0,1.0,0.0,0.0,False,False,48,48,0.5475344259757549,0.5475344259757549,0.5475344259757549,485,533,3.385e-05
gpt-oss-20b__low__size7_difficulty0.0_grid1__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid1,7,0.0,0.0,1,True,True,1,1,1.0,1.0,0.0,0.0,False,False,46,46,0.8217319839750417,0.8217319839750417,0.8217319839750417,485,531,3.345e-05
gpt-oss-20b__low__size7_difficulty0.0_grid20__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid20,7,0.0,0.0,20,True,True,6,6,1.0,1.0,0.0,0.0,False,False,504,172,6.313177931064274,0.8573702400026377,2.0647921857744223,2910,3414,0.00024629999999999997
gpt-oss-20b__low__size7_difficulty0.0_grid20__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid20,7,0.0,0.0,20,True,True,6,6,1.0,1.0,0.0,0.0,False,False,772,228,7.732049815065693,1.2855517145071644,1.8575430715281982,2910,3682,0.0002999
gpt-oss-20b__low__size7_difficulty0.0_grid20__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid20,7,0.0,0.0,20,True,True,6,6,1.0,1.0,0.0,0.0,False,False,578,166,5.9677043029805645,0.8381703560007736,1.568499593733577,2910,3488,0.0002611
gpt-oss-20b__low__size7_difficulty0.0_grid20__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid20,7,0.0,0.0,20,True,True,6,6,1.0,1.0,0.0,0.0,False,False,603,147,5.46812894300092,0.9470656964986119,1.2512831272470066,2910,3513,0.0002661
gpt-oss-20b__low__size7_difficulty0.0_grid2__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid2,7,0.0,0.0,2,True,True,1,1,1.0,1.0,0.0,0.0,False,False,52,52,0.5012279049842618,0.5012279049842618,0.5012279049842618,485,537,3.465e-05
gpt-oss-20b__low__size7_difficulty0.0_grid2__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid2,7,0.0,0.0,2,True,True,1,1,1.0,1.0,0.0,0.0,False,False,48,48,0.5404004050069489,0.5404004050069489,0.5404004050069489,485,533,3.385e-05
gpt-oss-20b__low__size7_difficulty0.0_grid2__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid2,7,0.0,0.0,2,True,True,1,1,1.0,1.0,0.0,0.0,False,False,61,61,0.6486964839859866,0.6486964839859866,0.6486964839859866,485,546,3.6450000000000005e-05
gpt-oss-20b__low__size7_difficulty0.0_grid2__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid2,7,0.0,0.0,2,True,True,1,1,1.0,1.0,0.0,0.0,False,False,63,63,0.6756398220313713,0.6756398220313713,0.6756398220313713,485,548,3.685e-05
gpt-oss-20b__low__size7_difficulty0.0_grid3__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid3,7,0.0,0.0,3,True,True,2,2,1.0,1.0,0.0,0.0,False,False,133,86,1.6009537659701891,0.8004768829850946,0.9910033603984629,970,1103,7.51e-05
gpt-oss-20b__low__size7_difficulty0.0_grid3__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid3,7,0.0,0.0,3,True,True,2,2,1.0,1.0,0.0,0.0,False,False,194,157,2.0158498160308227,1.0079249080154113,1.4366904340335167,970,1164,8.730000000000001e-05
gpt-oss-20b__low__size7_difficulty0.0_grid3__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid3,7,0.0,0.0,3,True,True,2,2,1.0,1.0,0.0,0.0,False,False,163,107,1.8225924429716542,0.9112962214858271,1.0735573200159707,970,1133,8.109999999999999e-05
gpt-oss-20b__low__size7_difficulty0.0_grid3__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid3,7,0.0,0.0,3,True,True,2,2,1.0,1.0,0.0,0.0,False,False,203,103,2.339706580969505,1.1698532904847525,1.3207985891262068,970,1173,8.910000000000001e-05
gpt-oss-20b__low__size7_difficulty0.0_grid4__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid4,7,0.0,0.0,4,True,True,2,2,1.0,1.0,0.0,0.0,False,False,124,72,1.6383527139551006,0.8191763569775503,0.9271378450881457,970,1094,7.33e-05
gpt-oss-20b__low__size7_difficulty0.0_grid4__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid4,7,0.0,0.0,4,True,True,2,2,1.0,1.0,0.0,0.0,False,False,181,134,1.953039208019618,0.976519604009809,1.2356418268900597,970,1151,8.47e-05
gpt-oss-20b__low__size7_difficulty0.0_grid4__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid4,7,0.0,0.0,4,True,True,2,2,1.0,1.0,0.0,0.0,False,False,145,90,1.6353712269919924,0.8176856134959962,0.9508166433341103,970,1115,7.75e-05
gpt-oss-20b__low__size7_difficulty0.0_grid4__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid4,7,0.0,0.0,4,True,True,2,2,1.0,1.0,0.0,0.0,False,False,112,60,1.3867559439968318,0.6933779719984159,0.7345598885265645,970,1082,7.09e-05
gpt-oss-20b__low__size7_difficulty0.0_grid5__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid5,7,0.0,0.0,5,True,True,5,3,0.8,1.0,0.0,0.0,False,False,517,189,5.470956600969657,0.9148458080017008,1.769744045997504,2425,2942,0.00022465
gpt-oss-20b__low__size7_difficulty0.0_grid5__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid5,7,0.0,0.0,5,True,True,3,3,1.0,1.0,0.0,0.0,False,False,243,115,2.93420511810109,0.9153893930488266,1.312771751609398,1455,1698,0.00012135
gpt-oss-20b__low__size7_difficulty0.0_grid5__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid5,7,0.0,0.0,5,True,True,3,3,1.0,1.0,0.0,0.0,False,False,273,121,3.330527455022093,1.0981487979879603,1.408733612188371,1455,1728,0.00012735
gpt-oss-20b__low__size7_difficulty0.0_grid5__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid5,7,0.0,0.0,5,True,True,3,3,1.0,1.0,0.0,0.0,False,False,383,164,4.8800988210132346,1.5999785260064527,1.8700646119134035,1455,1838,0.00014935000000000003
gpt-oss-20b__low__size7_difficulty0.0_grid6__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid6,7,0.0,0.0,6,True,True,3,3,1.0,1.0,0.0,0.0,False,False,208,82,2.4059669279959053,0.7827557179844007,1.0973565293010323,1455,1663,0.00011435000000000001
gpt-oss-20b__low__size7_difficulty0.0_grid6__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid6,7,0.0,0.0,6,True,True,3,3,1.0,1.0,0.0,0.0,False,False,208,87,2.8348874210496433,0.9319823390105739,1.2921265874465462,1455,1663,0.00011435
gpt-oss-20b__low__size7_difficulty0.0_grid6__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid6,7,0.0,0.0,6,True,True,3,3,1.0,1.0,0.0,0.0,False,False,169,66,2.385902567009907,0.7009508929913864,1.0808953339990695,1455,1624,0.00010655000000000001
gpt-oss-20b__low__size7_difficulty0.0_grid6__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid6,7,0.0,0.0,6,True,True,3,3,1.0,1.0,0.0,0.0,False,False,250,129,2.525358506012708,0.7160444449982606,1.0776775922160595,1455,1705,0.00012275
gpt-oss-20b__low__size7_difficulty0.0_grid7__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid7,7,0.0,0.0,7,True,True,3,3,1.0,1.0,0.0,0.0,False,False,189,79,2.1379649129812606,0.6948490969953127,0.763334520481294,1455,1644,0.00011055
gpt-oss-20b__low__size7_difficulty0.0_grid7__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid7,7,0.0,0.0,7,True,True,3,3,1.0,1.0,0.0,0.0,False,False,279,106,2.9624151330208406,1.0009392509819008,1.304145829222398,1455,1734,0.00012855
gpt-oss-20b__low__size7_difficulty0.0_grid7__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid7,7,0.0,0.0,7,True,True,3,3,1.0,1.0,0.0,0.0,False,False,346,189,3.083042553975247,1.110223394993227,1.3512490775843617,1455,1801,0.00014195
gpt-oss-20b__low__size7_difficulty0.0_grid7__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid7,7,0.0,0.0,7,True,True,3,3,1.0,1.0,0.0,0.0,False,False,284,176,3.7066294130054303,0.6236114709754474,2.363594074611319,1455,1739,0.00012955
gpt-oss-20b__low__size7_difficulty0.0_grid8__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid8,7,0.0,0.0,8,True,True,3,3,1.0,1.0,0.0,0.0,False,False,175,65,1.949476597015746,0.6385164280072786,0.6700573195179459,1455,1630,0.00010774999999999999
gpt-oss-20b__low__size7_difficulty0.0_grid8__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid8,7,0.0,0.0,8,True,True,3,3,1.0,1.0,0.0,0.0,False,False,168,71,1.6786576709710062,0.5202660940121859,0.6555659596051555,1455,1623,0.00010635000000000001
gpt-oss-20b__low__size7_difficulty0.0_grid8__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid8,7,0.0,0.0,8,True,True,3,3,1.0,1.0,0.0,0.0,False,False,238,111,2.8268614080152474,0.9491397110396065,1.225547335698502,1455,1693,0.00012035
gpt-oss-20b__low__size7_difficulty0.0_grid8__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid8,7,0.0,0.0,8,True,True,3,3,1.0,1.0,0.0,0.0,False,False,215,103,2.333893305971287,0.8132578649674542,0.9632145087001845,1455,1670,0.00011575000000000001
gpt-oss-20b__low__size7_difficulty0.0_grid9__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.0_grid9,7,0.0,0.0,9,True,True,3,3,1.0,1.0,0.0,0.0,False,False,252,102,2.2588224549544975,0.6699979300028645,0.9276633714849595,1455,1707,0.00012315
gpt-oss-20b__low__size7_difficulty0.0_grid9__sampled_rep2_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid9,7,0.0,0.0,9,True,True,3,3,1.0,1.0,0.0,0.0,False,False,264,101,3.2890721450094134,1.1889174419920892,1.40136210268829,1455,1719,0.00012555
gpt-oss-20b__low__size7_difficulty0.0_grid9__sampled_rep3_t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid9,7,0.0,0.0,9,True,True,3,3,1.0,1.0,0.0,0.0,False,False,332,197,2.674932644935325,0.7919358949875459,1.3572422794881276,1455,1787,0.00013915
gpt-oss-20b__low__size7_difficulty0.0_grid9__t07,GPT-OSS-20B,openai/gpt-oss-20b,low,0.7,sampled,size7_difficulty0.0_grid9,7,0.0,0.0,9,True,True,3,3,1.0,1.0,0.0,0.0,False,False,295,107,2.6771458159782924,0.8368632499477826,1.0707371267257257,1455,1750,0.00013175
gpt-oss-20b__low__size7_difficulty0.2_grid10__greedy_t0,GPT-OSS-20B,openai/gpt-oss-20b,low,0.0,greedy,size7_difficulty0.2_grid10,7,0.2,0.08,10,True,True,5,3,0.8,1.0,0.0,0.0,False,False,674,178,5.790541096124798,1.1816495900275186,1.4499355564126744,2425,3099,0.00025605
