commitment_step,commitment_step_progress,example_id,failure_category,final_action,n_reasoning_prefixes,n_reasoning_steps,observed_action,optimal_actions_json,recovery_step,recovery_step_progress,selection_stage,source_dataset,step_index,trajectory_group,trajectory_id,trajectory_remains_optimal,wrong_turn_detected,wrong_turn_step_majority,wrong_turn_step_majority_progress,wrong_turn_step_strict,wrong_turn_step_strict_progress,n_invalid_prefixes,valid_prefix_fraction
62,0.3229166666666667,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_34_step_006,avoidable_detour,LEFT,193,192,LEFT,"[""DOWN""]",31,0.16145833333333334,failure,trajectory_candidates:selection_candidates,6,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_34,False,True,6,0.03125,62,0.3229166666666667,0,1.0
222,0.6809815950920245,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_34_step_007,backtrack,RIGHT,327,326,RIGHT,"[""DOWN"", ""RIGHT""]",2,0.006134969325153374,failure,trajectory_candidates:selection_candidates,7,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_34,False,False,,,,,2,0.9938837920489296
239,0.7331288343558282,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_36_step_008,backtrack,RIGHT,327,326,RIGHT,"[""RIGHT"", ""UP""]",18,0.05521472392638037,failure,trajectory_candidates:selection_candidates,8,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_36,False,False,,,,,0,1.0
221,0.9364406779661016,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_37_step_003,backtrack,UP,237,236,UP,"[""RIGHT"", ""UP""]",,,failure,trajectory_candidates:selection_candidates,3,stay_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_37,True,False,,,,,0,1.0
136,0.7046632124352331,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_41_step_000,avoidable_detour,DOWN,194,193,DOWN,"[""LEFT""]",38,0.19689119170984457,failure,trajectory_candidates:selection_candidates,0,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_41,False,True,37,0.19170984455958548,116,0.6010362694300518,0,1.0
98,0.6577181208053692,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_42_step_007,none,UP,150,149,UP,"[""RIGHT"", ""UP""]",12,0.08053691275167785,context,trajectory_candidates:selection_candidates,7,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_42,False,False,,,,,0,1.0
100,0.9615384615384616,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_50_step_009,none,UP,105,104,UP,"[""LEFT"", ""UP""]",,,context,trajectory_candidates:selection_candidates,9,stay_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_50,True,False,,,,,0,1.0
96,0.5853658536585366,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_56_step_007,none,RIGHT,165,164,RIGHT,"[""DOWN"", ""RIGHT""]",,,context,trajectory_candidates:selection_candidates,7,stay_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_56,True,False,,,,,0,1.0
162,0.9700598802395209,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57_step_001,none,DOWN,168,167,DOWN,"[""DOWN"", ""LEFT""]",1,0.005988023952095809,context,trajectory_candidates:selection_candidates,1,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57,False,False,,,,,0,1.0
196,0.9751243781094527,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57_step_002,wall_hit,RIGHT,202,201,RIGHT,"[""LEFT""]",1,0.004975124378109453,failure,trajectory_candidates:selection_candidates,2,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57,False,True,174,0.8656716417910447,196,0.9751243781094527,0,1.0
96,0.676056338028169,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57_step_004,backtrack,RIGHT,143,142,RIGHT,"[""RIGHT"", ""UP""]",4,0.028169014084507043,failure,trajectory_candidates:selection_candidates,4,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57,False,False,,,,,0,1.0
85,0.6390977443609023,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_59_step_002,avoidable_detour,RIGHT,134,133,RIGHT,"[""DOWN""]",,,failure,trajectory_candidates:selection_candidates,2,go_wrong,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_59,False,True,85,0.6390977443609023,85,0.6390977443609023,0,1.0
123,0.75,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_68_step_007,none,DOWN,165,164,DOWN,"[""DOWN"", ""LEFT""]",,,context,trajectory_candidates:selection_candidates,7,stay_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_68,True,False,,,,,0,1.0
33,0.5238095238095238,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_75_step_002,none,UP,64,63,UP,"[""UP""]",1,0.015873015873015872,context,trajectory_candidates:selection_candidates,2,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_75,False,False,,,,,0,1.0
103,0.6645161290322581,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_77_step_003,backtrack,RIGHT,156,155,RIGHT,"[""DOWN"", ""RIGHT""]",,,failure,trajectory_candidates:selection_candidates,3,stay_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_77,True,False,,,,,0,1.0
86,0.6370370370370371,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_80_step_004,none,UP,136,135,UP,"[""RIGHT"", ""UP""]",,,context,trajectory_candidates:selection_candidates,4,stay_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_80,True,False,,,,,0,1.0
85,0.6854838709677419,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_83_step_004,none,UP,125,124,UP,"[""RIGHT"", ""UP""]",1,0.008064516129032258,context,trajectory_candidates:selection_candidates,4,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_83,False,False,,,,,0,1.0
261,0.9422382671480144,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_88_step_010,none,UP,278,277,UP,"[""RIGHT"", ""UP""]",152,0.5487364620938628,context,trajectory_candidates:selection_candidates,10,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_88,False,False,,,,,0,1.0
149,0.7602040816326531,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_92_step_004,none,UP,197,196,UP,"[""UP""]",5,0.025510204081632654,context,trajectory_candidates:selection_candidates,4,recover,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_92,False,True,3,0.015306122448979591,,,0,1.0
